age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,native-country,income-per-year
39.0,13.0,1.0,1.0,2174.0,0.0,40.0,5,0,4,0,1,38,0.0
50.0,13.0,1.0,1.0,0.0,0.0,13.0,4,0,2,3,0,38,0.0
38.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,0,5,1,38,0.0
53.0,7.0,0.0,1.0,0.0,0.0,40.0,2,0,2,5,0,38,0.0
28.0,13.0,0.0,0.0,0.0,0.0,40.0,2,0,2,9,5,4,0.0
37.0,14.0,1.0,0.0,0.0,0.0,40.0,2,0,2,3,5,38,0.0
49.0,5.0,0.0,0.0,0.0,0.0,16.0,2,0,3,7,1,22,0.0
52.0,9.0,1.0,1.0,0.0,0.0,45.0,4,0,2,3,0,38,1.0
31.0,14.0,1.0,0.0,14084.0,0.0,50.0,2,0,4,9,1,38,1.0
42.0,13.0,1.0,1.0,5178.0,0.0,40.0,2,0,2,3,0,38,1.0
37.0,10.0,0.0,1.0,0.0,0.0,80.0,2,0,2,3,0,38,1.0
30.0,13.0,0.0,1.0,0.0,0.0,40.0,5,0,2,9,0,18,1.0
23.0,13.0,1.0,0.0,0.0,0.0,30.0,2,0,4,0,3,38,0.0
32.0,12.0,0.0,1.0,0.0,0.0,50.0,2,0,4,11,1,38,0.0
34.0,4.0,0.0,1.0,0.0,0.0,45.0,2,0,2,13,0,25,0.0
25.0,9.0,1.0,1.0,0.0,0.0,35.0,4,0,4,4,3,38,0.0
32.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,4,6,4,38,0.0
38.0,7.0,1.0,1.0,0.0,0.0,50.0,2,0,2,11,0,38,0.0
43.0,14.0,1.0,0.0,0.0,0.0,45.0,4,0,0,3,4,38,1.0
40.0,16.0,1.0,1.0,0.0,0.0,60.0,2,0,2,9,0,38,1.0
54.0,9.0,0.0,0.0,0.0,0.0,20.0,2,0,5,7,4,38,0.0
35.0,5.0,0.0,1.0,0.0,0.0,40.0,0,0,2,4,0,38,0.0
43.0,7.0,1.0,1.0,0.0,2042.0,40.0,2,0,2,13,0,38,0.0
59.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,0,12,4,38,0.0
56.0,13.0,1.0,1.0,0.0,0.0,40.0,1,0,2,12,0,38,1.0
19.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,4,2,3,38,0.0
39.0,9.0,1.0,1.0,0.0,0.0,80.0,2,0,0,3,1,38,0.0
49.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,2,2,0,38,0.0
23.0,12.0,1.0,1.0,0.0,0.0,52.0,1,0,4,10,1,38,0.0
20.0,10.0,0.0,1.0,0.0,0.0,44.0,2,0,4,11,3,38,0.0
45.0,13.0,1.0,1.0,0.0,1408.0,40.0,2,0,0,3,3,38,0.0
30.0,10.0,1.0,1.0,0.0,0.0,40.0,0,0,2,0,3,38,0.0
22.0,10.0,0.0,1.0,0.0,0.0,15.0,5,0,2,7,0,38,0.0
48.0,7.0,1.0,1.0,0.0,0.0,40.0,2,0,4,6,4,32,0.0
21.0,10.0,1.0,1.0,0.0,0.0,40.0,2,0,4,6,3,38,0.0
19.0,9.0,1.0,0.0,0.0,0.0,25.0,2,0,1,0,5,38,0.0
48.0,12.0,1.0,1.0,0.0,0.0,40.0,4,0,2,9,0,38,0.0
31.0,5.0,1.0,1.0,0.0,0.0,43.0,2,0,2,6,0,38,0.0
53.0,13.0,1.0,1.0,0.0,0.0,40.0,4,0,2,9,0,38,0.0
24.0,13.0,1.0,1.0,0.0,0.0,50.0,2,0,2,12,0,38,0.0
49.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,5,0,4,38,0.0
25.0,9.0,1.0,1.0,0.0,0.0,35.0,2,0,4,5,1,38,0.0
57.0,13.0,0.0,1.0,0.0,0.0,40.0,0,0,2,9,0,38,1.0
53.0,9.0,1.0,1.0,0.0,0.0,38.0,2,0,2,6,0,38,0.0
44.0,14.0,1.0,0.0,0.0,0.0,40.0,2,0,0,3,4,38,0.0
41.0,11.0,1.0,1.0,0.0,0.0,40.0,5,0,2,2,0,38,0.0
29.0,11.0,1.0,1.0,0.0,0.0,43.0,2,0,4,9,1,38,0.0
25.0,10.0,0.0,0.0,0.0,0.0,40.0,2,0,2,3,5,38,0.0
47.0,15.0,1.0,0.0,0.0,1902.0,60.0,2,0,2,9,5,15,1.0
50.0,13.0,1.0,1.0,0.0,0.0,55.0,0,0,0,3,1,38,1.0
47.0,9.0,1.0,1.0,0.0,0.0,60.0,3,0,0,3,1,38,0.0
43.0,10.0,1.0,1.0,0.0,0.0,40.0,2,0,2,12,0,38,1.0
46.0,3.0,1.0,1.0,0.0,0.0,40.0,2,0,2,6,0,25,0.0
35.0,11.0,1.0,1.0,0.0,0.0,40.0,2,0,2,7,0,32,0.0
41.0,9.0,1.0,1.0,0.0,0.0,48.0,2,0,2,0,0,38,0.0
30.0,9.0,1.0,1.0,5013.0,0.0,40.0,2,0,2,6,0,38,0.0
30.0,13.0,1.0,1.0,2407.0,0.0,40.0,2,0,2,11,0,38,0.0
48.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,2,13,0,38,0.0
42.0,16.0,1.0,1.0,0.0,0.0,45.0,2,0,2,9,0,38,1.0
29.0,10.0,1.0,1.0,0.0,0.0,58.0,2,0,0,12,1,38,0.0
36.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,2,2,0,38,0.0
28.0,10.0,1.0,0.0,0.0,0.0,40.0,2,0,0,0,1,38,0.0
